Name,hr9,hr9nr,kPerc,kPercn,BBPerc,BBPercnr,WHIP,WHIPnr,BABIP,BABIPnr,FIP,FIPnr
Rubby de la Rosa,1.58,0.235955056,0.2,0.391304348,0.07,0.444444444,1.28,0.375,0.285,0.545454545,4.57,0.367609254
Tim Hudson,1.15,0.47752809,0.12,0.043478261,0.06,0.555555556,1.41,0.194444444,0.31,0.338842975,4.61,0.357326478
Jeremy Guthrie,1.17,0.466292135,0.12,0.043478261,0.07,0.444444444,1.54,0.013888889,0.324,0.223140496,4.72,0.329048843
Matt Garza,1.38,0.348314607,0.16,0.217391304,0.08,0.333333333,1.55,0,0.321,0.247933884,4.73,0.326478149
Ryan Vogelsong,1.26,0.415730337,0.17,0.260869565,0.1,0.111111111,1.36,0.263888889,0.263,0.727272727,4.78,0.313624679
R.A. Dickey,1.19,0.45505618,0.15,0.173913043,0.08,0.333333333,1.29,0.361111111,0.263,0.727272727,4.82,0.303341902
Miguel Gonzalez,1.53,0.264044944,0.18,0.304347826,0.07,0.444444444,1.23,0.444444444,0.264,0.719008264,4.84,0.298200514
Nick Martinez,1.1,0.505617978,0.14,0.130434783,0.08,0.333333333,1.42,0.180555556,0.289,0.512396694,4.92,0.277634961
Kyle Lohse,1.81,0.106741573,0.16,0.217391304,0.06,0.555555556,1.44,0.152777778,0.311,0.330578512,5.09,0.233933162
Kyle Kendrick,2,0,0.12,0.043478261,0.07,0.444444444,1.52,0.041666667,0.299,0.429752066,6,0
